Elevinformasjon 3. Klasse Nesbru VGS
Mads Hansen,R2,IT 2,Engelsk 2
Ingrid Olsen,S2,Markedsføring og ledelse 2,Engelsk 2
Jonas Berg,R2,Økonomistyring,Psykologi
Maria Solberg,S2,IT 2,Filosofi
Emilie Larsen,R2,Markedsføring og ledelse 2,Engelsk 2
Anders Pedersen,R2,Fysikk 2,Breddeidrett 2
Kristine Svendsen,S2,IT 2,Filosofi
Sander Andersen,R2,Fysikk 2,Engelsk 2
Linnea Jansen,S2,Økonomistyring,Filosofi
Erik Johansen,R2,IT 2,Breddeidrett 2
Anna Dahl,S2,Fysikk 2,Filosofi
Andreas Eriksen,R2,IT 2,Psykologi
Nora Sørensen,S2,Fysikk 2,Psykologi
Henrik Madsen,R2,Økonomistyring,Breddeidrett 2
Thea Christensen,S2,Markedsføring og ledelse 2,Psykologi
Martin Nygård,R2,Økonomistyring,Filosofi
Pernille Andersen,S2,Fysikk 2,Breddeidrett 2
Fredrik Jensen,R2,Økonomistyring,Engelsk 2
Julie Berg,S2,IT 2,Breddeidrett 2
Christian Larsen,R2,Markedsføring og ledelse 2,Psykologi
Ellen Rosling,S2,IT 2,Engelsk 2
